CATEGORIAS;descricaoesfera;unidadeorcamentaria;descricaofuncao;descricaosubfuncao;tituloprograma;descricaotipoprograma;tituloacao;tipoacao;descricaoproduto;uf;regiao;estado
-;;;;;;;;;;693;;693
AC;;;;;;;;;;528;;
ADMDIR;;15636;;;;;;;;;;
AL;;;;;;;;;;226;;
AM;;;;;;;;;;604;;
AP;;;;;;;;;;219;;
Abastecimento;;;;460;;;;;;;;
Acre;;;;;;;;;;;;528
Administração Geral;;;;1207;;;;;;;;
Administração da Unidade;;;;;;;1072;;;;;
Agente público beneficiado;;;;;;;;;135;;;
Agricultor assistido;;;;;;;;;383;;;
Agricultor atendido;;;;;;;;;1228;;;
Agricultor familiar beneficiado;;;;;;;;;20;;;
Agricultor segurado;;;;;;;;;37;;;
Agricultura;;;18318;;;;;;;;;
Agropecuária Conservacionista;;;;;;;77;;;;;
Agropecuária Sustentável;;;;;12564;;;;;;;
Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;;;;;;;135;;;;;
Alagoas;;;;;;;;;;;;226
Amapá;;;;;;;;;;;;219
Amazonas;;;;;;;;;;;;604
Ampliação da Rede Nacional de Monitoramento Meteorológico;;;;;;;45;;;;;
Ampliação, Revitalização e Modernização da Infraestrutura Física das Unidades da Embrapa;;;;;;;147;;;;;
Apoio ao Desenvolvimento Sustentável de Territórios Rurais;;;;;;;30;;;;;
Apoio ao Desenvolvimento da Produção Agropecuária Sustentável;;;;;;;163;;;;;
Apoio ao Desenvolvimento de Agricultura de Baixa Emissão de Carbono - ABC;;;;;;;87;;;;;
Apoio ao Desenvolvimento e Controle da Agricultura Orgânica - Pró-Orgânico;;;;;;;119;;;;;
Apoio ao Projeto Rondon;;;;;;;22;;;;;
Apoio à Implementação de Políticas Agroambientais;;;;;;;190;;;;;
Aquisição de Terras;;;;;;;422;;;;;
Aquisição e Implantação de Sistema Integrado de Gestão;;;;;;;8;;;;;
Assistência Comunitária;;;;37;;;;;;;;
Assistência Social e Pacificação no Campo;;;;;;;2;;;;;
Assistência Técnica e Extensão Rural;;;;;;;516;;;;;
Assistência Técnica e Extensão Rural para Agricultura Familiar;;;;;;;6;;;;;
Assistência Técnica e Extensão Rural para Reforma Agrária;;;;;;;2;;;;;
Assistência Técnica e Extensão Rural para o Produtor Rural;;;;;;;11;;;;;
Assistência aos Povos Indígenas;;;;2;;;;;;;;
Assistência às Associações de Criadores de Equinos e Entidades Turfísticas (Lei nº 7,291, de 1984);;;;;;;1;;;;;
Associação atendida;;;;;;;;;1;;;
Atenção Básica;;;;327;;;;;;;;
Atividade;;;;;;;;23288;;;;
Atividade apoiada;;;;;;;;;35;;;
Atividade realizada;;;;;;;;;974;;;
Audiência realizada;;;;;;;;;200;;;
Ação implementada;;;;;;;;;559;;;
BA;;;;;;;;;;636;;
BR;;;;;;;;;;11133;11133;
Bahia;;;;;;;;;;;;636
Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;;;;;;;706;;;;;
Boletim emitido;;;;;;;;;119;;;
Brasil;;;;;;;;;;;;11133
CE;;;;;;;;;;447;;
CONAB;;723;;;;;;;;;;
Cadastro, Recomposição e Produção Florestal;;;;;;;299;;;;;
Cadeia de abastecimento organizada/mantida;;;;;;;;;335;;;
Cadeia produtiva desenvolvida;;;;;;;;;74;;;
Ceará;;;;;;;;;;;;447
Centro-Oeste;;;;;;;;;;;1141;
Comunidade apoiada;;;;;;;;;2;;;
Comunidade indígena beneficiada;;;;;;;;;2;;;
